classes	parameters	log_likelihood	AIC	BIC	aBIC	entropy	class_sizes
1	6	-3674.65448492885	7361.3089698577	7391.65119174788	7372.59319579072		1161
2	13	-3601.4982165017	7228.9964330034	7294.73791376547	7253.44558919162	0.650103886026544	306, 855
3	20	-3556.17206575338	7152.34413150677	7253.48487114072	7189.95821795018	0.746824617476699	167, 306, 688
4	27	-3512.18621293059	7078.37242586119	7214.91242436703	7129.1514425598	0.952935380279323	166, 202, 375, 418
5	34	-3473.51358351431	7015.02716702861	7186.96642440634	7078.97111398242	0.85452879213028	40, 127, 167, 317, 510
6	41	-3418.15064480047	6918.30128960093	7125.63980585054	6995.41016680993	0.9860443812018	51, 173, 194, 213, 224, 306
